Compte	Intitulé	Solde final débit	Solde final crédit
2441	Matériel et mobilier de bureau	1500000	0
2844	Amortissements du matériel et mobilier	0	500000
331	Matières consommables	200000	0
521	Banques locales	1200000	0
571	Caisse	400000	0
1011	Dotation non consomptible	0	1500000
112	Réserves statutaires	0	200000
4011	Fournisseurs	0	150000
601	Achats de biens et services liés à l'activité	1800000	0
622	Locations et charges locatives	600000	0
661	Salaires	1300000	0
641	Impôts et taxes directs	100000	0
616	Transports de plis	150000	0
681	Dotations aux amortissements	250000	0
701	Cotisations des adhérents	0	2500000
7041	Dons	0	1600000
711	Subventions d'exploitation	0	1050000
