compte	libelle	classe
10	Capital	1
101	Capital social	1
1011	Capital souscrit, non appelé	1
1012	Capital souscrit, appelé, non versé	1
1013	Capital souscrit, appelé, versé, non amorti	1
1014	Capital souscrit, appelé, versé, amorti	1
1018	Capital souscrit soumis à des conditions particulières	1
102	Capital par dotation	1
1021	Dotation initiale	1
1022	Dotations complémentaires	1
1028	Autres dotations	1
103	Capital personnel	1
104	Compte de l’exploitant	1
1041	Apports temporaires	1
1042	Opérations courantes	1
1043	Rémunérations, impôts et autres charges personnelles	1
1047	Prélèvements d’autoconsommation	1
1048	Autres prélèvements	1
105	Primes liées au capital social	1
1051	Primes d’émission	1
1052	Primes d’apport	1
1053	Primes de fusion	1
1054	Primes de conversion	1
1058	Autres primes	1
106	Écarts de réévaluation	1
1061	Écarts de réévaluation légale	1
1062	Écarts de réévaluation libre	1
109	Apporteurs, capital souscrit, non appelé	1
11	Réserves	1
111	Réserve légale	1
112	Réserves statutaires ou contractuelles	1
113	Réserves réglementées	1
1131	Réserves de plus-values nettes à long terme	1
1132	Réserves d’attribution gratuite d’actions au personnel salarié et aux dirigeants	1
1133	Réserves consécutives à l’octroi de subventions d’inves-tissement	1
1134	Réserves des valeurs mobilières donnant accès au capital	1
1138	Autres réserves réglementées	1
118	Autres réserves	1
1181	Réserves facultatives	1
1188	Réserves diverses	1
12	Report à nouveau	1
121	Report à nouveau créditeur	1
129	Report à nouveau débiteur	1
1291	Perte nette à reporter	1
1292	Perte - Amortissements réputés différés	1
13	Résultat net de l’exercice	1
130	Résultat en instance d’affectation	1
1301	Résultat en instance d’affectation : bénéfice	1
1309	Résultat en instance d’affectation : perte	1
131	Résultat net : bénéfice	1
132	Marge commerciale (MC)	1
133	Valeur ajoutée (VA)	1
134	Excédent brut d’exploitation (EBE)	1
135	Résultat d’exploitation (RE)	1
136	Résultat financier (RF)	1
137	Résultat des activités ordinaires (RAO)	1
138	Résultat hors activités ordinaires (RHAO)	1
1381	Résultat de fusion	1
1382	Résultat d’apport partiel d’actif	1
1383	Résultat de scission	1
1384	Résultat de liquidation	1
139	Résultat net : perte	1
14	Subventions d’investissement	1
141	Subventions d’équipement	1
1411	État	1
1412	Régions	1
1413	Départements	1
1414	Communes et collectivités publiques décentralisées	1
1415	Entités publiques ou mixtes	1
1416	Entités et organismes privés	1
1417	Organismes internationaux	1
1418	Autres	1
148	Autres subventions d’investissement	1
15	Provisions réglementées et fonds assimilés	1
151	Amortissements dérogatoires	1
152	Plus-values de cession à réinvestir	1
153	Fonds réglementés	1
1531	Fonds National	1
1532	Prélèvement pour le Budget	1
154	Provisions spéciales de réévaluation	1
155	Provisions réglementées relatives aux immobilisations	1
1551	Reconstitution des gisements miniers et pétroliers	1
156	Provisions réglementées relatives aux stocks	1
1561	Hausse de prix	1
1562	Fluctuation des cours	1
157	Provisions pour investissement	1
158	Autres provisions et fonds réglementés	1
16	Emprunts et dettes assimilées	1
161	Emprunts obligataires	1
1611	Emprunts obligataires ordinaires	1
1612	Emprunts obligataires convertibles en actions	1
1613	Emprunts obligataires remboursables en actions	1
1618	Autres emprunts obligataires	1
162	Emprunts et dettes auprès des établissements de crédit	1
163	Avances reçues de l’État	1
164	Avances reçues et comptes courants bloqués	1
165	Dépôts et cautionnements reçus	1
1651	Dépôts	1
1652	Cautionnements	1
166	Intérêts courus	1
1661	Sur emprunts obligataires	1
1662	Sur emprunts et dettes auprès des établissements de crédit	1
1663	Sur avances reçues de l’État	1
1664	Sur avances reçues et comptes courants bloqués	1
1665	Sur dépôts et cautionnements reçus	1
1667	Sur avances assorties de conditions particulières	1
1668	Sur autres emprunts et dettes	1
167	Avances assorties de conditions particulières	1
1671	Avances bloquées pour augmentation du capital	1
1672	Avances conditionnées par l’État	1
1673	Avances conditionnées par les autres organismes africains	1
1674	Avances conditionnées par les organismes internationaux	1
168	Autres emprunts et dettes	1
1681	Rentes viagères capitalisées	1
1682	Billets de fonds	1
1683	Dettes consécutives à des titres empruntés	1
1684	Emprunts participatifs	1
1685	Participation des travailleurs aux bénéfices	1
1686	Emprunts et dettes contractés auprès des autres tiers	1
17	Dettes de location acquisition	1
172	Dettes de location acquisition / crédit - bail immobilier	1
173	Dettes de location acquisition / crédit - bail mobilier	1
174	Dettes de location acquisition / location de vente	1
176	Intérêts courus	1
1762	Sur dettes de location acquisition / crédit-bail immobilier	1
1763	Sur dettes de location acquisition / crédit-bail mobilier	1
1764	Sur dettes de location acquisition / location-vente	1
1768	Sur autres dettes de location acquisition	1
178	Autres dettes de location acquisition	1
18	Dettes liées à des participations et comptes de liaison des établissements et sociétés en participation	1
181	Dettes liées à des participations	1
1811	Dettes liées à des participations (groupe)	1
1812	Dettes liées à des participations (hors groupe)	1
182	Dettes liées à des sociétés en participation	1
183	Intérêts courus sur dettes liées à des participations	1
184	Comptes permanents bloqués des établissements et succursales	1
185	Comptes permanents non bloqués des établissements et succursales	1
186	Comptes de liaison charges	1
187	Comptes de liaison produits	1
188	Comptes de liaison des sociétés en participation	1
19	Provisions pour risques et charges	1
191	Provisions pour litiges	1
192	Provisions pour garanties données aux clients	1
193	Provisions pour pertes sur marchés à achèvement futur	1
194	Provisions pour pertes de change	1
195	Provisions pour impôts	1
196	Provisions pour pensions et obligations similaires	1
1961	Provisions pour pensions et obligations similaires - engagement de retraite	1
1962	Actif du régime de retraite	1
197	Provisions pour restructuration	1
198	Autres provisions pour risques et charges	1
1981	Provisions pour amendes et pénalités	1
1983	Provisions pour propre assureur	1
1984	Provisions pour démantèlement et remise en état	1
1985	Provisions pour droits à réduction ou avantage en nature (chèques cadeau, cartes de fidélité...)	1
1988	Provisions pour divers risques et charges	1
21	Immobilisations incorporelles	2
211	Frais de développement	2
212	Brevets, licences, concessions et droits similaires	2
2121	Brevets	2
2122	Licences	2
2123	Concessions de service public	2
2128	Autres concessions et droits similaires	2
213	Logiciels et sites internet	2
2131	Logiciels	2
2132	Sites internet	2
214	Marques	2
215	Fonds commercial	2
216	Droit au bail	2
217	Investissements de création	2
218	Autres droits et valeurs incorporels	2
2181	Frais de prospection et d’évaluation de ressources minérales	2
2182	Coûts d’obtention du contrat	2
2183	Fichiers clients, notices, titres de journaux et magazines	2
2184	Coûts des franchises	2
2188	Divers droits et valeurs incorporelles	2
219	Immobilisations incorporelles en cours	2
2191	Frais de développement	2
2193	Logiciels et internet	2
2198	Autres droits et valeurs incorporels	2
22	Terrains	2
221	Terrains agricoles et forestiers	2
