Compte	Intitulé	Solde final débit	Solde final crédit
2441	Matériel et mobilier	3000000	0
2844	Amortissements du matériel et mobilier	0	1200000
33	Stocks d'autres approvisionnements	800000	0
521	Banque locale	2500000	0
571	Caisse	500000	0
103	Capital personnel	0	2000000
162	Emprunt établissement de crédit	0	1500000
401	Fournisseurs	0	400000
601	Achats de marchandises	5200000	0
622	Locations et charges locatives	1200000	0
661	Salaires	1800000	0
641	Impôts et taxes directs	300000	0
671	Charges d'intérêts	150000	0
616	Transports de plis	250000	0
681	Dotations aux amortissements	600000	0
701	Ventes de marchandises	0	10200000
707	Produits accessoires	0	1000000
